Symbol,Name,Sector
BFS,"Saul Centers Inc.",Financials
BGC,"General Cable Corp.",Industrials
BGFV,"Big 5 Sporting Goods Corp","Consumer Discretionary"
BGG,"Briggs & Stratton Corp",Industrials
BGS,"B&G Foods Inc.","Consumer Staples"
BH,"Biglari Holdings Inc",Services
BHE,"Benchmark Electronics Inc","Information Technology"
BHI,"Baker Hughes Inc",Energy
BID,Sotheby's,"Consumer Discretionary"
BIG,"Big Lots Inc","Consumer Discretionary"
BIIB,"Biogen Idec Inc","Health Care"
BIO,"Bio-Rad Laboratories Inc","Health Care"
BJRI,"BJ's Restaurants Inc","Consumer Discretionary"
BK,"The Bank of New York Mellon Corp",Financials
BKE,"Buckle Inc","Consumer Discretionary"
BKH,"Black Hills Corp",Utilities
BKMU,"Bank Mutual Corp",Financials
BKS,"Barnes & Noble Inc","Consumer Discretionary"
BLK,"BlackRock Inc.",Financials
BLKB,"Blackbaud Inc","Information Technology"
BLL,"Ball Corp",Materials
BMI,"Badger Meter Inc",Industrials
BMR,"BioMed Realty Trust Inc",Financials
BMS,"Bemis Co Inc",Materials
BMY,"Bristol-Myers Squibb","Health Care"
BNNY,"Annie?s Inc.","Consumer Staples"
BOBE,"Bob Evans Farms","Consumer Discretionary"
BOFI,"BofI Holding Inc.",Financials
BOH,"Bank of Hawaii Corp",Financials
BPFH,"Boston Private Finl Hldgs Inc",Financials
BR,"Broadridge Financial Solutions LLC","Information Technology"
BRC,"Brady Corporation",Industrials
BRCM,"Broadcom Corp A","Information Technology"
BRK_B,"Berkshire Hathaway B",
BRKL,"Brookline Bancorp Inc",Financials
BRKS,"Brooks Automation Inc","Information Technology"
BRLI,"Bio Reference Laboratories Inc","Health Care"
BRO,"Brown & Brown Inc",Financials
BRS,"Bristow Group Inc",Energy
BSX,"Boston Scientific Corp","Health Care"
BTU,"Peabody Energy Corp",Energy
BWA,"Borgwarner Inc","Consumer Discretionary"
BWLD,"Buffalo Wild Wings","Consumer Discretionary"
BWS,"Brown Shoe Co Inc","Consumer Discretionary"
BXP,"Boston Properties Inc",Financials
BXS,"BancorpSouth Inc (MS)",Financials
BYD,"Boyd Gaming Corp","Consumer Discretionary"
BYI,"Bally Technologies Inc",Services
C,"Citigroup Inc",Financials
CA,"CA Inc","Information Technology"
CAB,"Cabela's Inc Class A","Consumer Discretionary"
CACI,"CACI Intl Inc A","Information Technology"
CAG,"ConAgra Foods Inc","Consumer Staples"
CAH,"Cardinal Health Inc","Health Care"
CAKE,"Cheesecake Factory Inc","Consumer Discretionary"
CALM,"Cal Maine Foods Inc","Consumer Staples"
CAM,"Cameron International Corp",Energy
CAMP,"CalAmp Corp.","Information Technology"
CAS,"Castle	Materials",
CASY,"Casey's General Stores Inc","Consumer Staples"
CAT,"Caterpillar Inc",Industrials
CATM,"Cardtronics Inc.","Information Technology"
CATO,"Cato Corp A","Consumer Discretionary"
CATY,"Cathay General Bancorp",Financials
CB,"Chubb Corp",Financials
CBB,"Cincinnati Bell Inc","Telecommunications Services"
CBEY,"Cbeyond	Telecommunications Services",
CBG,"CB Richard Ellis Group Inc A",Financials
CBK,"Christopher & Banks Corp","Consumer Discretionary"
CBM,"Cambrex Corp","Health Care"
CBOE,"CBOE Holdings, Inc.",Financials
CBR,"CIBER Inc","Information Technology"
CBRL,"Cracker Barrel Old Country Store Inc","Consumer Discretionary"
CBS,"CBS Corp B","Consumer Discretionary"
CBSH,"Commerce Bancshares Inc (MO)",Financials
CBST,"Cubist Pharmaceuticals Inc","Health Care"
CBT,"Cabot Corp",Materials
CBU,"Community Bank System",Financials
CCC,"Calgon Carbon Corp",Materials
CCE,"Coca-Cola Enterprises","Consumer Staples"
CCI,"Crown Castle International Corp.","Telecommunication Services"
CCL,"Carnival Corp","Consumer Discretionary"
CCMP,"Cabot Microelectronics Corp","Information Technology"
CCRN,"Cross Country Healthcare Inc","Health Care"
CDI,"CDI Corp",Industrials
CDNS,"Cadence Design Systems Inc","Information Technology"
CDR,"Cedar Shopping Centres Inc",Financials
CEB,"Corporate Executive Board Co",Industrials
CECO,"Career Education Corp","Consumer Discretionary"
CELG,"Celgene Corp","Health Care"
CENTA,"Central Garden & Pet Co A","Consumer Staples"
CENX,"Century Aluminum Co",Materials
CERN,"Cerner Corp","Health Care"
CEVA,"CEVA Inc.","Information Technology"
CF,"CF Industries Holdings",Materials
CFN,"CareFusion Corp.","Health Care"
CFNL,"Cardinal Financial Corp.",Financials
CFR,"Cullen Frost Bankers (TX)",Financials
CGNX,"Cognex Corp","Information Technology"
CHCO,"City Hldg Co",Financial
CHD,"Church & Dwight Co","Consumer Staples"
CHE,"Chemed Corp","Health Care"
CHK,"Chesapeake Energy Corp",Energy
CHRW,"CH Robinson Worldwide Inc",Industrials
CHS,"Chico's Fas Inc","Consumer Discretionary"
CHSP,"Chesapeake Lodging Trust",Financials
CI,"CIGNA Corp","Health Care"
CIEN,"CIENA Corp","Information Technology"
CINF,"Cincinnati Financial Corp",Financials
CIR,"Circor Intl Inc",Industrials
CJES,"C&J Energy Services Inc.",Energy
CKH,"SEACOR Holdings Inc.",Energy
CKP,"Checkpoint Systems Inc","Information Technology"
CL,"Colgate-Palmolive Co","Consumer Staples"
CLC,"CLARCOR Inc",Industrials
CLD,"Cloud Peak Energy",Energy
CLF,"Cliffs Natural Resources Inc",Materials
CLGX,"CoreLogic Inc.",Financial
CLH,"Clean Harbors Inc",Industrials
CLI,"Mack-Cali Realty Corp",Financials
CLMS,"Calamos Asset Management Inc.",Financials
CLW,"Clearwater Paper Corp",Materials
CLX,"Clorox Co","Consumer Staples"
CMA,"Comerica Inc (MI)",Financials
CMC,"Commercial Metals Co",Materials
CMCSA,"Comcast Corp","Consumer Discretionary"
CME,"Chicago Mercantile Exchange",Financials
CMG,"Chipotle Mexican Grill Inc.","Consumer Discretionary"
CMI,"Cummins Inc",Industrials
CMN,"Cantel Medical Corp",Healthcare
CMO,"Capstead Mortgage Corp.",Finance
CMP,"Compass Minerals International",Materials
CMS,"CMS Energy Corp",Utilities
CMTL,"Comtech Telecommunications","Information Technology"
CNC,"Centene Corp","Health Care"
CNK,"Cinemark Holdings, Inc.","Consumer Discretionary"
CNL,"Cleco Corp",Utilities
CNMD,"Conmed Corp","Health Care"
CNP,"Centerpoint Energy Inc",Utilities
CNQR,"Concur Technologies Inc","Information Technology"
CNVR,"Conversant, Inc.","Information Technology"
CNW,"Con-way Inc",Industrials
CNX,"CONSOL Energy Inc",Energy
COF,"Capital One Financial",Financials
COG,"Cabot Oil & Gas A",Energy
COH,"Coach Inc","Consumer Discretionary"
COHR,"Coherent Inc.","Information Technology"
COHU,"Cohu Inc","Information Technology"
COL,"Rockwell Collins",Industrials
COLB,"Columbia Banking System Inc",Financials
COO,"Cooper Companies Inc","Health Care"
COP,ConocoPhillips,Energy
COR,"Coresite Realty",Financials
COST,"Costco Wholesale Corp","Consumer Staples"
COV,"Covidien plc","Health Care"
CPB,"Campbell Soup Co","Consumer Staples"
CPLA,"Capella Education Co","Consumer Discretionary"
CPRT,"Copart Inc",Industrials
CPSI,"Computer Programs & Systems Inc","Health Care"
CPT,"Camden Property Trust",Financials
CPWR,"Compuware Corp","Information Technology"
CR,"Crane Co",Industrials
CREE,"Cree Inc","Information Technology"
CRI,"Carters Inc","Consumer Discretionary"
CRK,"Comstock Res Inc",Energy
CRL,"Charles River Laboratories","Health Care"
CRM,Salesforce.com,"Information Technology"
CROX,CROCS,"Consumer Discretionary"
CRR,"Carbo Ceramics Inc",Energy
CRS,"Carpenter Technology Corp",Materials
CRUS,"Cirrus Logic Inc.","Information Technology"
CRVL,"Corvel Corp","Health Care"
CRY,"Cryolife Inc","Health Care"
CRZO,"Carrizo Oil & Gas Inc.",Energy
CSC,"Computer Sciences","Information Technology"
CSCO,"Cisco Systems Inc","Information Technology"
CSGS,"CSG Systems Intl Inc","Information Technology"
CSH,"Cash America Intl Inc",Financials
CSL,"Carlisle Cos",Industrials
CST,"CST Brands Inc.","Consumer Discretionary"
CSX,"CSX Corp",Industrials
CTAS,"Cintas Corp",Industrials
CTL,"CenturyLink Inc","Telecommunications Services"
CTRE,"CareTrust REIT Inc.",Financials
CTS,"CTS Corp","Information Technology"
CTSH,"Cognizant Tech Solutions Corp","Information Technology"
CTXS,"Citrix Systems Inc","Information Technology"
CUB,"Cubic Corp",Industrials
CUZ,"Cousins Properties",Financials
CVBF,"CVB Financial Corp.",Financials
CVC,"Cablevision Systems Corp.","Consumer Discretionary"
CVD,"Covance Inc","Health Care"
CVEO,"Civeo Corp.",Industrials
CVG,"Convergys Corp","Information Technology"
CVGW,"Calavo Growers Inc","Consumer Goods"
CVLT,"Commvault Systems","Information Technology"
CVS,"CVS Caremark Corp.","Consumer Staples"
CVX,"Chevron Corp",Energy
CW,"Curtiss-Wright Corp",Industrials
CXW,"Corrections Corp of America",Industrials
CY,"Cypress Semiconductor Corp","Information Technology"
CYBX,"Cyberonics Inc","Health Care"
CYH,"Community Health Systems","Health Care"
CYN,"City National Corp (CA)",Financials
CYNO,Cynosure,"Health Care"
CYT,"Cytec Industries Inc",Materials
D,"Dominion Resources Inc",Utilities
DAKT,"Daktronics Inc","Information Technology"
DAL,"Delta Air Lines",Industrials
DAR,"Darling Intl Inc","Consumer Staples"
DBD,"Diebold Inc","Information Technology"
DCI,"Donaldson Co",Industrials
DCOM,"Dime Community Bancshares Inc",Financials
DD,"DuPont	Materials",
DDD,"3D Systems Corp.","Information Technology"
DE,"Deere & Co",Industrials
DECK,"Deckers Outdoor","Consumer Discretionary"
DEL,"Deltic Timber",Materials
DF,"Dean Foods Co","Consumer Staples"
DFS,"Discover Financial Services",Financials
DG,"Dollar General Corp.","Consumer Discretionary"
DGII,"Digi Intl Inc","Information Technology"
DGX,"Quest Diagnostics","Health Care"
DHI,"Horton	Consumer Discretionary",
DHR,"Danaher Corp",Industrials
DHX,"Dice Holdings, Inc.","Information Technology"
DIN,"DineEquity Inc","Consumer Discretionary"
DIOD,"Diodes Inc","Information Technology"
DIS,"Walt Disney Co","Consumer Discretionary"
DISCA,"Discovery Communications Inc",Services
DKS,"Dick's Sporting Goods Inc","Consumer Discretionary"
DLPH,"Delphi Automotive plc","Consumer Discretionary"
DLTR,"Dollar Tree Inc","Consumer Discretionary"
DLX,"Deluxe Corp",Industrials
DMND,"Diamond Foods","Consumer Staples"
DNB,"Dun & Bradstreet Corp",Industrials
DNOW,"NOW Inc.",Industrials
DNR,"Denbury Resources Inc",Energy
DO,"Diamond Offshore Drilling",Energy
DORM,"Dorman Products Inc.","Consumer Discretionary"
DOV,"Dover Corp",Industrials
DOW,"Dow Chemical",Materials
DPS,"Dr Pepper Snapple Group","Consumer Staples"
DPZ,"Domino?s Pizza","Consumer Discretionary"
DRC,"Dresser-Rand Group Inc.",Energy
DRE,"Duke Realty Corp",Financials
DRH,"Diamondrock Hospitality",Financials
DRI,"Darden Restaurants Inc","Consumer Discretionary"
DRIV,"Digital River Inc","Information Technology"
DRQ,"Dril-Quip Inc",Energy
DSPG,"DSP Group","Information Technology"
DST,"DST Systems Inc","Information Technology"
DTE,"DTE Energy Co",Utilities
DTSI,"DTS Inc","Information Technology"
DTV,"DIRECTV Class A","Consumer Discretionary"
DUK,"Duke Energy Corp",Utilities
DV,"DeVry Inc","Consumer Discretionary"
DVA,"Davita Inc","Health Care"
DVN,"Devon Energy Corp",Energy
DW,"Drew Industries Inc","Consumer Discretionary"
DWA,"DreamWorks Animation SKG","Consumer Discretionary"
DXPE,"DXP Enterprises Inc.",Industrials
DY,"Dycom Industries Inc",Industrials
EA,"Electronic Arts","Information Technology"
EAT,"Brinker Intl Inc","Consumer Discretionary"
EBAY,"eBay Inc.","Information Technology"
EBIX,"Ebix.Com Inc","Information Technology"
EBS,"Emergent Biosolutions Inc",Healthcare
ECL,"Ecolab Inc",Materials
ECPG,"Encore Capital Group Inc.",Financials
ED,"Consolidated Edison Inc",Utilities
EE,"El Paso Electric Co",Utilities
EFII,"Electronics For Imaging","Information Technology"
EFX,"Equifax Inc",Industrials
EGHT,"8x8 Inc.","Telecommunications Services"
EGL,"Engility Holdings Inc.",Industrials
EGN,"Energen Corp",Utilities
EGOV,"NIC Inc.","Information Technology"
EGP,"EastGroup Properties",Financials
EHTH,"eHealth Inc",Financials
EIG,"Employers Holdings Inc",Financials
EIX,"Edison Intl",Utilities
EL,"Estee Lauder Cos.","Consumer Staples"
ELY,"Callaway Golf Co","Consumer Discretionary"
EMC,"EMC Corp","Information Technology"
EME,"Emcor Group Inc",Industrials
EMN,"Eastman Chemical Co",Materials
EMR,"Emerson Electric Co",Industrials
ENDP,"Endo Pharmaceuticals Hldg","Health Care"
ENR,"Energizer Hldgs Inc","Consumer Staples"
ENS,EnerSys,Industrials
ENSG,"THE ENSIGN GROUP",
ENTR,"Entropic Communications Inc.","Information Technology"
EOG,"EOG Resources",Energy
EPAY,"Bottomline Technologies (de) Inc.","Information Technology"
EPIQ,"Epiq Systems Inc","Information Technology"
EPR,"Entertainment Propertie Tr SBI",Financials
EQIX,"Equinix Inc","Information Technology"
EQR,"Equity Residential",Financials
EQT,"EQT Corporation",Utilities
EQY,"Equity One Inc",Financials
ERA,"Era Group Inc.",Energy
ESE,"ESCO Technologies Inc",Industrials
ESI,"ITT Educational Svcs","Consumer Discretionary"
ESIO,"Electro Scientific Inc","Information Technology"
ESL,"Esterline Technologies",Industrials
ESRX,"Express Scripts Inc","Health Care"
ESS,"Essex Property Trust",Financials
ESV,"Ensco plc",Energy
ETFC,"E*TRADE Financial Corp",Financials
ETH,"Ethan Allen Interiors","Consumer Discretionary"
ETN,"Eaton Corp",Industrials
ETR,"Entergy Corp",Utilities
EV,"Eaton Vance Corp",Financials
EVR,"Evercore Partners Inc.",Financials
EW,"Edwards Lifesciences Corp","Health Care"
EWBC,"East West Bancorp Inc",Financials
EXAR,"Exar Corp","Information Technology"
EXC,"Exelon Corp",Utilities
EXH,"Exterran Holdings Inc",Energy
EXLS,"Exlservice Holdings, Inc.","Information Technology"
EXP,"Eagle Materials Inc",Materials
EXPD,"Expeditors Intl of WA Inc",Industrials
EXPE,Expedia,"Consumer Discretionary"
EXPO,"Exponent Inc",Industrials
EXR,"Extra Space Storage Inc",Financials
EZPW,"EZCORP Inc A",Financials
F,"Ford Motor Co","Consumer Discretionary"
FAF,"First American Financial Corp",Financials
FARO,"FARO Technologies Inc","Information Technology"
FAST,"Fastenal Co",Industrials
FB,"Facebook Inc.","Information Technology"
FBHS,"Fortune Brands Home & Security Inc.",Industrials
FBP,"First Bancorp (Puerto Rico)",Financials
FCF,"First Commonwealth Finl (PA)",Financials
FCFS,"First Cash Inc",Financials
FCN,"FTI Consulting",Industrials
FCS,"Fairchild Semiconductor Intl A","Information Technology"
FCX,"Freeport McMoRan Copper & Gold",Materials
FDO,"Family Dollar Stores Inc","Consumer Discretionary"
FDS,"FactSet Research System Inc","Information Technology"
FDX,"FedEx Corp",Industrials
FE,"FirstEnergy Corp",Utilities
FEIC,"FEI Company","Information Technology"
FELE,"Franklin Electric Co.",Industrials
FF,"FutureFuel Corp.",Materials
FFBC,"First Financial Bancorp",Financials
FFIN,"First Financial Bankshs (TX)",Financials
FFIV,"F5 Networks Inc","Information Technology"
FHN,"First Horizon National Corp",Financials
FICO,"Fair Isaac & Co Inc","Information Technology"
FII,"Federated Investors Inc B",Financials
FINL,"Finish Line A","Consumer Discretionary"
FIS,"Fidelity National Information","Information Technology"
FISV,"Fiserv Inc","Information Technology"
FITB,"Fifth Third Bancorp (OH)",Financials
FIX,"Comfort Systems USA Inc",Industrials
FL,"Foot Locker Inc","Consumer Discretionary"
FLIR,"FLIR Systems Inc","Information Technology"
FLO,"Flowers Foods Inc","Consumer Staples"
FLR,"Fluor Corp",Industrials
FLS,"Flowserve Corp",Industrials
FMBI,"First Midwest Bancorp (IL)",Financials
FMC,"FMC Corp",Materials
FMER,"FirstMerit Corp",Financials
FN,Fabrinet,"Information Technology"
FNB,"FNB Corp.",Financials
FNF,"Fidelity National Financial Inc",Financials
FNFG,"First Niagara Finl Group",Financials
FNGN,"Financial Engines Inc.",Financials
FOR,"Forestar Group Inc",Financials
FORR,"Forrester Research Inc","Information Technology"
FOSL,"Fossil Inc","Consumer Discretionary"
FOXA,"Twenty-First Century Fox, Inc.","Consumer Discretionary"
FRAN,"Francesca's Holdings Corp.","Consumer Discretionary"
FRED,"Fred's Inc","Consumer Discretionary"
FRT,"Federal Realty Invt Trust",Financials
FRX,"Forest Laboratories","Health Care"
FSLR,"First Solar Inc",Industrials
FSP,"Franklin Street Properties Corp",Financials
FSS,"Federal Signal Corp",Industrials
FST,"Forest Oil",Energy
FTD,"FTD Companies, Inc.","Consumer Discretionary"
FTI,"FMC Technologies Inc",Energy
FTK,"Flotek Industries Inc.",Materials
FTNT,"Fortinet Inc.","Information Technology"
FTR,"Frontier Communications Corp","Telecommunications Services"
FUL,"Fuller	Materials",
FULT,"Fulton Financial Corp (PA)",Financials
FWRD,"Forward Air Corp",Industrials
FXCM,"FXCM Corp.",Financials
GAS,"AGL Resources",Utilities
GB,"Greatbatch Inc","Health Care"
GBCI,"Glacier Bancorp Inc",Financials
GCI,"Gannett Co Inc","Consumer Discretionary"
GCO,"Genesco Inc","Consumer Discretionary"
GD,"General Dynamics",Industrials
GDOT,"Green Dot Corp.",Financials
GE,"General Electric Co",Industrials
GEF,"Greif Bros Corp",Materials
GEO,"Geo Group Inc",Industrials
GEOS,"Geospace Technologies Corporation",Energy
GES,"Guess? Inc","Consumer Discretionary"
GFF,"Griffon Corp",Industrials
GGG,"Graco Inc",Industrials
GGP,"General Growth Properties Inc.",Financials
GHC,"Graham Holdings Company","Consumer Discretionary"
GHL,"Greenhill & Co Inc",Financials
GIFI,"Gulf Island Fabrication Inc",Energy
GIII,"G-III Apparel Group Ltd.","Consumer Discretionary"
GILD,"Gilead Sciences Inc","Health Care"
GIS,"General Mills Inc","Consumer Staples"
GK,"G & K Services Cl'A'",Industrials
GLT,"P.H. Glatfelter Company",Materials
GLW,"Corning Inc","Information Technology"
GM,"General Motors Co.","Consumer Discretionary"
GMCR,"Green Mountain Coffee Roasters Inc","Consumer Staples"
GME,"GameStop Corp A","Consumer Discretionary"
GMT,"GATX Corp",Industrials
GNCMA,"General Communication A","Telecommunications Services"
GNTX,"Gentex Corp","Consumer Discretionary"
GNW,"Genworth Financial Inc",Financials
GOOG,"Google Inc","Information Technology"
GOV,"Government Properties Income Trust",Financials
GPC,"Genuine Parts Co","Consumer Discretionary"
GPI,"Group 1 Automotive Inc","Consumer Discretionary"
GPN,"Global Payments Inc","Information Technology"
GPOR,"Gulfport Energy Corp.",Energy
GPRE,"Green Plains Renewable Energy",Energy
GPS,"Gap Inc","Consumer Discretionary"
GRMN,"Garmin Ltd.","Consumer Discretionary"
GS,"Goldman Sachs Group Inc",Financials
GSM,"Globe Specialty Metals, Inc.",Materials
GT,"Goodyear Tire & Rubber Co","Consumer Discretionary"
GTAT,"GT Advanced Technologies Inc.","Information Technology"
GTIV,"Gentiva Health Svcs","Health Care"
GTY,"Getty Realty Corp.",Financials
GVA,"Granite Construction Inc",Industrials
GWR,"Genesee & Wyoming Inc.",Industrials
GWW,"Grainger	Industrials",
GXP,"Great Plains Energy Inc",Utilities
GY,"GenCorp Inc",Industrials
HAE,"Haemonetics Corp","Health Care"
HAFC,"Hanmi Financial Corp",Financials
HAIN,"Hain Celestial Group Inc","Consumer Staples"
HAL,"Halliburton Co",Energy
HAR,"Harman Intl Industries Inc","Consumer Discretionary"
HAS,"Hasbro Inc","Consumer Discretionary"
HAYN,"Haynes International Inc.",Materials
HBAN,"Huntington Bancshares (OH)",Financials
HBHC,"Hancock Hldgs Co",Financials
HBI,"Hanesbrands Inc","Consumer Discretionary"
HCBK,"Hudson City Bancorp",Financials
HCC,"HCC Insurance Hldgs Inc",Financials
HCI,"HCI Group Inc.",Financials
HCN,"Health Care REIT Inc",Financials
HCP,"HCP Inc",Financials
HCSG,"Healthcare Services Group Inc",Industrials
HD,"Home Depot Inc","Consumer Discretionary"
HE,"Hawaiian Electric Industries",Utilities
HELE,"Helen of Troy Ltd","Consumer Discretionary"
HES,"Hess Corp",Energy
HF,"HFF Inc.",Financials
HFC,"HollyFrontier Corp.",Energy
HGR,"Hanger Orthopedic Group Inc","Health Care"
HHS,"Harte-Hanks Inc","Consumer Discretionary"
HI,"Hillenbrand Inc","Consumer Discretionary"
HIBB,"Hibbett Sports Inc","Consumer Discretionary"
HIG,"Hartford Finl Services Group",Financials
HII,"Huntington Ingalls Industries Inc.",Industrials
HITT,"Hittite Microwave Corp","Information Technology"
